施設名,都道府県,施設タイプ,価格_目安,評点,サウナタイプ,ソース,URL
森のスパリゾート 北海道ホテル,北海道,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-hokkaido/
ニュー阿寒ホテル,北海道,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-hokkaido/
定山渓万世閣ホテルミリオーネ,北海道,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-hokkaido/
北こぶし知床 ホテル＆リゾート,北海道,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-hokkaido/
ホテル・アンドルームス札幌すすきの,北海道,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-hokkaido/
暖雪 札幌,北海道,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-hokkaido/
翠巌,北海道,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-hokkaido/
ザ レイクビューTOYA 乃の風リゾート,北海道,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-hokkaido/
VILLA BRAMARE,北海道,ヴィラ,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-hokkaido/
SAUNA VILLA YOICHI,北海道,ヴィラ,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-hokkaido/
元湯 猿倉温泉,青森,旅館,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-aomori/
Tiny resort misawa,青森,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-aomori/
宇樽部キャンプ場,青森,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-aomori/
藤三旅館・別邸 鉛温泉 心の刻 十三月,岩手,旅館,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-iwate/
渚亭 たろう庵,岩手,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-iwate/
HOTEL MAZARIUM,岩手,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-iwate/
リッチモンドホテル仙台,宮城,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-miyagi/
秋保風雅,宮城,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-miyagi/
ゆづくしSalon一の坊,宮城,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-miyagi/
MUSIRO SAUNA,秋田,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-akita/
森長旅館,秋田,旅館,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-akita/
名月荘,山形,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-yamagata/
日本の宿 古窯,山形,旅館,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-yamagata/
山形の近隣エリアにあるプライベートサウナ付き宿泊施設,山形,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-yamagata/
HOTEL C&I KORIYAMA,福島,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-fukushima/
エンゼルフォレスト白河高原,福島,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-fukushima/
ときわ邸 M-GARDEN,茨城,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-ibaraki/
Water Garden Resort キャンプ＆マリーナ,茨城,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-ibaraki/
日光 雪月花,栃木,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-tochigi/
Rakuten STAY VILLA 日光,栃木,ヴィラ,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-tochigi/
サンロイヤル小山,栃木,その他,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-tochigi/
ホテルニューイタヤ,栃木,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-tochigi/
プライベートサウナがある群馬のホテル,群馬,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-gunma/
SHIROIYA HOTEL,群馬,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-gunma/
ホテルサンダーソン,群馬,ホテル,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-gunma/
プライベートサウナがある群馬の旅館,群馬,旅館,,,プライベートサウナ,トマレルサウナ,https://tomarerusauna.com/private-gunma/
